Alfa, Romeo GT  3.2 V6 Lusso, 6.3
Renault, Clio Renaultsport, 6.3
BMW, 330i M Sport, 6.3
Audi, A8 L  4.2 Quattro, 6.4
Audi, S3, 6.4
Volvo, S80 V8, 6.4
Honda, Civic Type R JDM, 6.4
Audi, S3, 6.4
Audi, TT Coupe, 6.4
Audi, A8  4.0 TDi, 6.4
BMW, M3 Evolution E30, 6.4
BMW, Z3  2.8i, 6.4
Audi, TT  3.2 Quattro, 6.4
Mini, John Cooper Works Clubman, 6.5
BMW, 750i E38, 6.5
Mazda, RX-8 R3, 6.5
Renault, Megane 230 (F1 R26), 6.5
Nissan, 200x S14a, 6.5
Volkswagen, Passat W8 4Motion, 6.5
Renault, Megane 225 Sport, 6.5
Pontiac, G6 GTP, 6.5
BMW, 330Ci E46, 6.5
Volkswagen, Golf R32, 6.5
Volvo, S40 T5 AWD, 6.5
BMW, 325xi E46, 6.5
BMW, M3 E30, 6.5
Alfa, Romeo GT V6, 6.5
Saab, 9-3 V6 Aero, 6.5
Honda, Civic Type R, 6.6
Honda, Civic Type R EDM, 6.6
Lancia, Delta Integrale 8v, 6.6
Alfa, Romeo GTV  3.0 V6, 6.6
Volvo, C30 T5 SE Sport, 6.6
Audi, TT Roadster  2.0 TFSI, 6.6
Renault, Clio V6 Phase 1, 6.6
Chevrolet, Silverado SS, 6.6
Honda, Civic Type R EK9, 6.6
BMW, 328i E46, 6.6
Ford, Focus ST, 6.7
BMW, 745i, 6.7
Smart, ForFour Brabus, 6.7
Lotus, Elan SE, 6.7
Vauxhall, Astra VXR, 6.7
Acura, RSX Type S, 6.7
Renault, Renaultsport Megane Trophy, 6.7
Audi, A4  3.0 Quattro, 6.7
Fiat, Coupe 16v Turbo, 6.8
Vauxhall, Astra GSi 16v Turbo, 6.8
Lancia, Thema  8.32, 6.8
Ford, Mondeo ST220, 6.8
Vauxhall, Corsa VXR, 6.8
Audi, A3  2.0 TFSI, 6.8
Volvo, S60 T5, 6.8
Dodge, RAM 1500 SLT Hemi, 6.8
MG, Maestro Turbo, 6.8
BMW, 328i E46, 6.8
BMW, 528i, 6.8
Volvo, S40 T5, 6.8
BMW, 750i E38, 6.8
Fiat, Abarth 500 Esseesse, 6.9
Alfa, Romeo 155 Q4, 6.9
Audi, A6  4.2 Quattro, 6.9
Lexus, SC430, 6.9
Nissan, 200X S13, 6.9
Renault, Clio, 6.9
Ford, Fiesta ST185, 6.9
BMW, 330d, 6.9
Volkswagen, Polo GTi, 6.9
Seat, Leon Cupra R, 6.9
Alfa, Romeo 166  3.0 Super Lusso, 7.0
Mazda, RX-8, 7.0
Mitsubishi, Lancer Ralliart Sportback, 7.0
Rover, 620 Ti, 7.0
BMW, 740i E38, 7.0
BMW, X5  4.4i, 7.1
Skoda, Octavia vRS, 7.1
Volkswagen, Golf VR6, 7.1
BMW, 323i E46, 7.1
Seat, Ibiza Cupra R 20vt, 7.1
Honda, Accord Type R, 7.1
BMW, 530i E39, 7.1
Renault, Clio Sport, 7.1
Audi, A4  2.0 TFSi Quattro, 7.1
Honda, Integra Type R DC5, 7.1
Volvo, XC60, 7.1
Mini, Cooper S R56, 7.1
Vauxhall, Carlton GSi 24V, 7.1
Volkswagen, Scirocco DSG, 7.1
BMW, 850i, 7.1
BMW, 328Ci E46, 7.2
Chrysler, Crossfire, 7.2
Range, Rover Sport V8 Supercharged, 7.2
Alfa, Romeo 156  2.5 V6, 7.2
Saab, 9000 Turbo 16v, 7.2
Volkswagen, Scirocco  2.0 TSI, 7.2
Toyota, MR2 GT Mk2 Rev 1, 7.2
Mercedes,-Benz 190E  2.5 16, 7.2
Vauxhall, Astra Coupe Turbo, 7.2
Audi, A4  2.0T FSI Quattro, 7.2
Volkswagen, Mk6 GTi, 7.2
BMW, E60 530d, 7.2
Hyundai, Coupe V6, 7.3
Toyota, Celica T-Sport, 7.3
Audi, Sport Quattro, 7.3
Audi, A8  4.2 Quattro, 7.3
MG, ZS, 7.3
Audi, A4  2.0T FSI, 7.3
Vauxhall, Astra GTE 16V Mk2, 7.4
Volkswagen, Golf  2.3 V5, 7.4
BMW, 740i E32, 7.4
BMW, 840i, 7.4
Lexus, IS250 AWD, 7.4
Pontiac, Solstice, 7.4
Audi, 200 Quattro, 7.4
Scion, tC, 7.4
Ford, Racing Puma, 7.4
Volvo, C70 T5 Sport, 7.4
Mini, Cooper S Convertible, 7.4
Aston, Martin DB6, 7.5
Saab, 900 Turbo 16v S, 7.5
Jaguar, X Type  3.0 Sport, 7.5
BMW, E30 325i, 7.5
Audi, TT  2.0 TDI, 7.5
Audi, A4  2.8 Quattro, 7.5
BMW, 330d E46, 7.5
Skoda, Octavia vRS, 7.6
MG, 1.8i VVC, 7.6
Seat, Ibiza FR, 7.6
Mini, Cooper S, 7.6
Mini, Cooper S John Cooper Works, 7.6
Renault, 21 Turbo, 7.6
Alfa, Romeo 156  2.4 JTD, 7.6
Peugeot, 205 GTi, 7.6
Mazda, MX-5  2.0 Roadster, 7.6
Citroen, Saxo VTS, 7.7
Seat, Leon Cupra 20vt, 7.7
MG, MGB GT V8, 7.7
Volkswagen, Polo GTi, 7.7
Audi, TT Coupe 1.8T, 7.8
Renault, 19 16v, 7.8
Audi, TT Coupe, 7.8
MG, ZT, 7.8
Volvo, 850 T5 R, 7.8
Renault, 5 GT Turbo, 7.8
Renault, Clio Williams, 7.8
Fiat, Uno Turbo ie, 7.9
Alfa, Romeo Mito 1.4 TB 155 Veloce, 7.9
Ford, Mondeo ST200, 7.9
Peugeot, 306 GTi-6, 7.9
Daihatsu, Charade GTti, 7.9
Ford, Fiesta ST, 7.9
Volkswagen, Golf GTi Mk3, 7.9
Ford, Capri  2.8i, 7.9
Audi, A6 L  3.2 FSI Quattro, 7.9
Saab, 9-3 Convertible, 7.9
Alfa, Romeo 145 Cloverleaf, 8.0
Mitsubishi, Colt CZT, 8.0
Ford, Focus ST170, 8.0
Audi, 80  2.8e V6 Quattro, 8.0
Volkswagen, Corrado G60, 8.0
Citroen, Xsara VTS, 8.0
Vauxhall, Vectra GSi, 8.0
Volkswagen, Golf GTI 16v Mk2, 8.0
Fiat, Bravo HGT, 8.0
